ID,Status of exisiting checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Sex_0,Sex_1,Sex_2,Sex_3,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Target
0,0.0,2.0,4.0,4.0,142.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,48.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0
1,1.0,29.0,2.0,4.0,770.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1
2,3.0,8.0,4.0,7.0,390.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,30.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0
3,0.0,26.0,2.0,3.0,848.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,26.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0
4,0.0,17.0,3.0,0.0,734.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,34.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1
5,3.0,23.0,2.0,7.0,869.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,16.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0
6,3.0,17.0,2.0,3.0,533.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,34.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
7,1.0,23.0,2.0,1.0,813.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,16.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0
8,3.0,8.0,2.0,4.0,562.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,42.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0
9,1.0,21.0,4.0,0.0,747.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,9.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1
10,1.0,8.0,2.0,0.0,190.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1
11,0.0,29.0,2.0,9.0,700.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1
12,1.0,8.0,2.0,4.0,287.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0
13,0.0,17.0,4.0,0.0,149.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,41.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1
