Sex Mean_difference value before: -0.074
Sex DI value before: 0.899
Age Mean_difference value before: -0.089
Age DI value before: 0.882
Sex Mean_difference value after: 0.01
Sex DI value after: 1.014
Age Mean_difference value after: -0.013
Age DI value after: 0.983
lr_std_model sex Eq. Odds difference: -0.115
lr_std_model age Eq. Odds difference: -0.135
rf_std_model sex Eq. Odds difference: -0.019
rf_std_model age Eq. Odds difference: -0.01
svm_std_model sex Eq. Odds difference: -0.115
svm_std_model age Eq. Odds difference: -0.109
xgb_std_model sex Eq. Odds difference: -0.042
xgb_std_model age Eq. Odds difference: -0.047
lr_fair_model sex Eq. Odds difference: -0.004
lr_fair_model age Eq. Odds difference: -0.058
rf_fair_model sex Eq. Odds difference: -0.034
rf_fair_model age Eq. Odds difference: 0.005
svm_fair_model sex Eq. Odds difference: -0.031
svm_fair_model age Eq. Odds difference: -0.058
xgb_fair_model sex Eq. Odds difference: -0.009
xgb_fair_model age Eq. Odds difference: 0.002
